k,recall_mean,recall_std
100,0.008,0.0
500,0.038400000000000004,0.007838367176906169
1000,0.152,0.007155417527999333
2000,0.3264,0.005986651818838311
3000,0.46719999999999995,0.003919183588453061
5000,0.6544000000000001,0.0032000000000000028
