k,hits,precision@k,recall@k,method
100,2,0.02,0.016,A_bagging_pu
500,10,0.02,0.08,A_bagging_pu
1000,27,0.027,0.216,A_bagging_pu
2000,52,0.026,0.416,A_bagging_pu
3000,63,0.021,0.504,A_bagging_pu
5000,83,0.0166,0.664,A_bagging_pu
100,1,0.01,0.008,B_prior_corrected
500,8,0.016,0.064,B_prior_corrected
1000,25,0.025,0.2,B_prior_corrected
2000,51,0.0255,0.408,B_prior_corrected
3000,63,0.021,0.504,B_prior_corrected
5000,84,0.0168,0.672,B_prior_corrected
100,3,0.03,0.024,C_two_step
500,8,0.016,0.064,C_two_step
1000,13,0.013,0.104,C_two_step
2000,32,0.016,0.256,C_two_step
3000,45,0.015,0.36,C_two_step
5000,63,0.0126,0.504,C_two_step
100,4,0.04,0.032,D_ensemble
500,12,0.024,0.096,D_ensemble
1000,22,0.022,0.176,D_ensemble
2000,46,0.023,0.368,D_ensemble
3000,55,0.018333333333333333,0.44,D_ensemble
5000,78,0.0156,0.624,D_ensemble
100,1,0.01,0.008,E_calibrated
500,4,0.008,0.032,E_calibrated
1000,11,0.011,0.088,E_calibrated
2000,22,0.011,0.176,E_calibrated
3000,32,0.010666666666666666,0.256,E_calibrated
5000,57,0.0114,0.456,E_calibrated
