k,recall_mean,recall_std
100,0.032,0.0
500,0.09759999999999999,0.003199999999999997
1000,0.1936,0.011757550765359259
2000,0.3792,0.011973303637676624
3000,0.4368,0.003919183588453088
5000,0.6208,0.008158431221748464
